taxonomy_id	synonyms
139	"[""Borrelia burgdorferi Johnson et al. 1984"", ""Borreliella burgdorferi (Johnson et al. 1984) Adeolu and Gupta 2015""]"
140	"[""Borrelia hermsii (Davis 1942) Steinhaus 1946 (Approved Lists 1980)"", ""Borrelia hermsii genomic group I""]"
141	"[""Borrelia parkeri (Davis 1942) Steinhaus 1946 (Approved Lists 1980)""]"
142	"[""Borrelia turicatae (Brumpt 1933) Steinhaus 1946 (Approved Lists 1980)""]"
143	"[""Borrelia anserina (Sakharoff 1891) Bergey et al. 1925 (Approved Lists 1980)"", ""Spirochaete gallinarum"", ""Spiroschaudinnia anserina""]"
160	"[""Microspironema pallidum"", ""Spirillum pallidum"", ""Spirochaeta pallida"", ""Spironema pallidum"", ""Treponema pallidum (Schaudinn and Hoffmann 1905) Schaudinn 1905 (Approved Lists 1980)""]"
172	"[""Leptospira biflexa (Wolbach and Binger 1914) Noguchi 1918 (Approved Lists 1980)""]"
173	"[""Leptospira icteroides"", ""Spirochaeta icterogenes"", ""Spirochaeta icterohaemorrhagiae"", ""Spirochaeta interrogans"", ""Spirochaeta nodosa""]"
174	[]
197	"[""Campylobacter fetus subsp. jejuni"", ""Vibrio hepaticus"", ""Vibrio jejuni""]"
210	"[""Campylobacter pylori"", ""Campylobacter pylori subsp. pylori"", ""Campylobacter pyloridis"", ""Helicobacter nemestrinae""]"
235	"[""\""Bacillus of abortion\"" Bang 1897"", ""Bacterium abortus"", ""Brucella melitensis biovar Abortus""]"
236	"[""Brucella melitensis biovar Ovis""]"
238	"[""Chryseobacterium (Flavobacterium) meningosepticum"", ""Chryseobacterium meningosepticum"", ""Flavobacterium menginosepticum"", ""Flavobacterium meningosepticum""]"
247	"[""\""Bacillus brevis\"" Lustig 1890"", ""\""Flavobacterium brevis\"" (sic) (Lustig 1890) Bergey et al. 1923"", ""Bacillus canalis parvus"", ""Bacillus canicolis brevis"", ""Bacterium breve"", ""Bacterium canale"", ""Bacterium canalis parvus"", ""Empedobacter breve"", ""Flavobacterium breve"", ""Pseudobacterium brevis""]"
256	"[""Flavobacterium odoratum""]"
263	"[""Bacterium tularense"", ""Brucella tularensis"", ""Francisella tularense"", ""Pasteurella tularensis""]"
287	"[""Bacillus aeruginosus"", ""Bacillus pyocyaneus"", ""Bacterium aeruginosum"", ""Bacterium pyocyaneum"", ""Micrococcus pyocyaneus"", ""Pseudomonas aeruginosa (Schroeter 1872) Migula 1900 (Approved Lists 1980)"", ""Pseudomonas polycolor"", ""Pseudomonas pyocyanea"", ""probable synonym or variety: \""Pseudomonas polycolor\"" Clara 1930""]"
329	"[""Burkholderia pickettii"", ""Pseudomonas pickettii""]"
446	[]
470	"[""Acinetobacter genomosp. 2"", ""Acinetobacter genomospecies 2"", ""Bacterium anitratum""]"
480	"[""Branhamella catarrhalis"", ""Mikrokkokus catarrhalis"", ""Moraxella (subgen. Branhamella Catlin 1970) catarrhalis (Frosch and Kolle 1896) Bovre 1984""]"
484	[]
485	"[""Diplococcus gonorrhoeae"", ""Gonococcus neisseri"", ""Merismopedia gonorrhoeae"", ""Micrococcus der gonorrhoe"", ""Micrococcus gonococcus"", ""Micrococcus gonorrhoeae""]"
487	"[""Diplokokkus intracellularis meningitidis"", ""Micrococcus intracellularis"", ""Micrococcus meningitidis"", ""Micrococcus meningitidis cerebrospinalis"", ""Neisseria weichselbaumii""]"
504	"[""Kingella kingii"", ""Moraxella kingae"", ""Moraxella kingii""]"
511	"[""Bacillus faecalis alcaligenes""]"
520	"[""Bacterium tussis-convulsivae"", ""Haemophilus pertussis"", ""Hemophilus pertussis"", ""Microbe de la coqueluche""]"
529	"[""Ochrobactrum anthropi""]"
536	"[""Chromobacterium goianiensis"", ""Chromobacterium janthinum"", ""Chromobacterium laurentium"", ""Chromobacterium manilae"", ""Chromobacterium pseudoviolaceum""]"
539	"[""Bacteroides corrodens"", ""Ristella corrodens""]"
546	"[""Bacterium freundii"", ""Citrobacter ballerupensis"", ""Escherichia freundii"", ""Salmonella ballerup"", ""Salmonella hormaechei"", ""the Ballerup group of bacteria"", ""the Bethesda group of bacteria""]"
550	"[""Aerobacter cloacae"", ""Bacillus cloacae"", ""Bacterium cloacae"", ""Cloaca cloacae""]"
562	"[""E. coli"", ""Bacillus coli"", ""Bacterium coli"", ""Bacterium coli commune"", ""Enterococcus coli"", ""Escherichia/Shigella coli""]"
573	"[""K. pneumoniae"", ""'Klebsiella aerogenes' (Kruse) Taylor et al. 1956"", ""Bacillus pneumoniae"", ""Bacterium pneumoniae crouposae"", ""Hyalococcus pneumoniae"", ""Klebsiella pneumoniae aerogenes""]"
582	"[""Morganella morganii (Winslow et al. 1919) Fulton 1943 (Approved Lists 1980)"", ""Organism N 1"", ""Proteus morganii"", ""Salmonella morgani""]"
584	[]
585	[]
588	"[""Providencia stuartii (Buttiaux et al. 1954) Ewing 1962 (Approved Lists 1980)"", ""Providencia thailandensis"", ""Providencia thailandensis Khunthongpan et al. 2014""]"
615	"[""Bacillus marcescens"", ""Serratia marcescens subsp. marcescens"", ""Serratia marcescens subsp. sakuensis""]"
621	[]
622	"[""Bacillus dysenteriae"", ""Bacillus dysentericus"", ""Bacillus shigae"", ""Eberthella dysenteriae"", ""Escherichia/Shigella dysenteriae"", ""Shigella shigae""]"
623	"[""Escherichia flexneri"", ""Escherichia/Shigella flexneri"", ""Shigella paradysenteriae""]"
624	"[""Bacterium sonnei""]"
630	"[""Bacterium enterocoliticum""]"
632	"[""Bacillus pestis"", ""Pasteurella pestis"", ""Pestisella pestis"", ""Yersinia pestis (Lehmann and Neumann 1896) van Loghem 1944 (Approved Lists 1980), nom. cons."", ""Yersinia pseudotuberculosis subsp. pestis""]"
644	"[""Aeromonas dourgesi"", ""Aeromonas hydrophila (Chester 1901) Stanier 1943 (Approved Lists 1980)"", ""Aeromonas liquefaciens"", ""Bacillus hydrophilus fuscus"", ""Bacterium hydrophilum"", ""Proteus hydrophilus"", ""Proteus ichthyosmius"", ""Pseudomonas hydrophila""]"
663	"[""Beneckea alginolytica"", ""Oceanomonas alginolytica"", ""Pseudomonas creosotensis""]"
666	"[""Bacillo virgola del Koch"", ""Bacillus cholerae"", ""Bacillus cholerae-asiaticae"", ""Kommabacillus"", ""Liquidivibrio cholerae"", ""Microspira comma"", ""Pacinia cholerae-asiaticae"", ""Spirillum cholerae"", ""Spirillum cholerae-asiaticae"", ""Vibrio albensis"", ""Vibrio cholera"", ""Vibrio cholerae biovar albensis"", ""Vibrio cholerae bv. albensis"", ""Vibrio cholerae-asiaticae"", ""Vibrio comma""]"
669	"[""Achromobacter harveyi"", ""Beneckea harveyi"", ""Beneckea neptuna"", ""Lucibacterium harveyi"", ""Photobacterium harveyi"", ""Pseudomonas harveyi"", ""Vibrio carchariae"", ""Vibrio trachuri""]"
670	"[""Beneckea parahaemolytica"", ""Oceanomonas parahaemolytica"", ""Pasteurella parahaemolytica"", ""Vibrio parahaemolyticus (Fujino et al. 1951) Sakazaki et al. 1963 (Approved Lists 1980)""]"
672	"[""Beneckea vulnifica"", ""Vibrio vulnificus (Reichelt et al. 1979) Farmer 1980""]"
673	"[""Special Bacteriology group EF-13"", ""Vibrio hollisae""]"
674	[]
675	[]
676	[]
703	"[""Aeromonas shigelloides"", ""Fergusonia shigelloides"", ""Pleisomonas shigelloides"", ""Plesiomonas shigelloides corrig. (Bader 1954) Habs and Schubert 1962 (Approved Lists 1980)"", ""Pseudomonas shigelloides""]"
727	"[""Bacterium influenzae"", ""Coccobacillus pfeifferi"", ""Haemophilus meningitidis"", ""Influenza-bacillus"", ""Mycobacterium influenzae""]"
730	"[""Bacillus ulceris cancrosi"", ""Haemophilus ducreyi (Neveu-Lemaire 1921) Bergey et al. 1923 (Approved Lists 1980)"", ""Pseudactinobacillus ducreyi""]"
747	"[""Bacterium multocidum"", ""Micrococcus gallicidus"", ""Pasteurella cholerae-gallinarum"", ""Pasteurella gallicida""]"
769	"[""Anaplasma marginale subsp. centrale""]"
770	"[""Anaplasma argentium"", ""Anaplasma rossicum"", ""Anaplasma theileri""]"
777	"[""Coxiella burnetii corrig. (Derrick 1939) Philip 1948 (Approved Lists 1980)"", ""Rickettsia burneti"", ""Rickettsia diaporica""]"
779	"[""Cowdria ruminantium"", ""Kurlovia ruminantium"", ""Nicollea ruminantium"", ""Rickettsia ruminantium""]"
781	"[""Rickettsia conorii corrig. Brumpt 1932 (Approved Lists 1980)""]"
782	[]
783	"[""Dermacentroxenus rickettsii""]"
784	"[""Rickettsia akamushi"", ""Rickettsia orientalis"", ""Rickettsia tsutsugamushi"", ""Theileria tsutsugamushi""]"
785	"[""Dermacentroxenus typhi"", ""Rickettsia mooseri""]"
786	"[""Dermacentroxenus murinus"", ""Gamasoxenus muris""]"
787	[]
788	"[""Rickettsia canada""]"
