strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
CBS 138	5478	GCA_000002545.2	GCA_000002545.2	False	Chromosome	current	13.0	12318245	13	1100349	5		38.5		GCF_000002545.3	Nakaseomyces glabratus	5478	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,4892,4893,374468,5478	Ascomycota	Eukaryota		Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces glabratus				2759		4751	4890	4891	4892	4893	374468	5478						https://genome.ucsc.edu/h/GCA_000002545.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/545/GCA_000002545.2/genes/GCA_000002545.2_ASM254v2.ncbiGene.gtf.gz
Af293	330879	GCA_000002655.1	GCA_000002655.1	True	Chromosome	current	8.0	29384958	8	3948441	4		50.0		GCF_000002655.1	Aspergillus fumigatus	746128	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720872,746128,330879	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	Aspergillus fumigatus Af293			2759		4751	4890	147545	5042	1131492	5052	746128	330879					https://genome.ucsc.edu/h/GCA_000002655.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/655/GCA_000002655.1/genes/GCA_000002655.1_ASM265v1.ncbiGene.gtf.gz
G3	412133	GCA_000002825.3	GCA_000002825.3	False	Scaffold	current		176420065	64769	27122	1020	7.2	33.0			Trichomonas vaginalis	5722	1,131567,2759,2611341,5719,37104,181550,5721,5722,412133	Metamonada	Eukaryota			Parabasalia		Trichomonadida	Trichomonadidae	Trichomonas	Trichomonas vaginalis			Trichomonas vaginalis G3	2759			5719		37104	181550	5721	5722			412133			https://genome.ucsc.edu/h/GCA_000002825.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/825/GCA_000002825.3/genes/GCA_000002825.3_ASM282v3.ncbiGene.gtf.gz
	5061	GCA_000002855.2	GCA_000002855.2	True	Scaffold	current	8.0	33975768	19	2525243	6		50.5		GCF_000002855.4	Aspergillus niger	5061	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5061	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger				2759		4751	4890	147545	5042	1131492	5052	5061						https://genome.ucsc.edu/h/GCF_000002855.4	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/855/GCA_000002855.2/genes/GCA_000002855.2_ASM285v2.ncbiGene.gtf.gz
Bristol N2	6239	GCA_000002985.3	GCA_000002985.3	True	Complete Genome	current	6.0	100272607	6	17493829	3		35.5		GCF_000002985.6	Caenorhabditis elegans	6239	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,2301119,55879,6243,55885,6237,6239	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis elegans				2759		33208	6231	119089	6236	6243	6237	6239						https://genome.ucsc.edu/h/GCA_000002985.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/985/GCA_000002985.3/genes/GCA_000002985.3_WBcel235.ncbiGene.gtf.gz
Ankara isolate clone C9	5874	GCA_000003225.1	GCA_000003225.1	True	Chromosome	current	4.0	8352220	7	1979170	2		32.5		GCF_000003225.4	Theileria annulata	5874	1,131567,2759,2698737,33630,5794,422676,5863,27994,5873,5874	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Theileria	Theileria annulata				2759			5794	422676	5863	27994	5873	5874						https://genome.ucsc.edu/h/GCA_000003225.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/003/225/GCA_000003225.1/genes/GCA_000003225.1_ASM322v1.ncbiGene.gtf.gz
ER-3	559297	GCA_000003525.2	GCA_000003525.2	True	Scaffold	current		66568269	25	5552162	5	9.43	37.0		GCF_000003525.1	Blastomyces dermatitidis	5039	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,5039,559297	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces dermatitidis	Blastomyces dermatitidis ER-3			2759		4751	4890	147545	33183	299071	229219	5039	559297					https://genome.ucsc.edu/h/GCA_000003525.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/003/525/GCA_000003525.2/genes/GCA_000003525.2_BD_ER3_V1.ncbiGene.gtf.gz
SLH14081	559298	GCA_000003855.2	GCA_000003855.2	True	Scaffold	current		75353942	100	2435518	8	8.4	36.0		GCF_000003855.2	Blastomyces gilchristii	1681229	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1681229,559298	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii	Blastomyces gilchristii SLH14081			2759		4751	4890	147545	33183	299071	229219	1681229	559298					https://genome.ucsc.edu/h/GCA_000003855.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/003/855/GCA_000003855.2/genes/GCA_000003855.2_BD_SLH14081_V1.ncbiGene.gtf.gz
NEG-M	5762	GCA_000004985.1	GCA_000004985.1	True	Scaffold	current		40964085	784	401612	33	8.63	33.0		GCF_000004985.1	Naegleria gruberi	5762	1,131567,2759,2611352,5752,2601529,2601530,5765,5761,5762		Eukaryota			Heterolobosea			Vahlkampfiidae	Naegleria	Naegleria gruberi				2759			5752			5765	5761	5762						https://genome.ucsc.edu/h/GCA_000004985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/004/985/GCA_000004985.1/genes/GCA_000004985.1_V1.0.ncbiGene.gtf.gz
Mad-698-R	561896	GCA_000006255.1	GCA_000006255.1	False	Scaffold	current		90891856	1242	322842	85	7.23	54.0		GCF_000006255.1	Rhodonia placenta	104341	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,2983338,2041757,104341,561896	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Adustoporiaceae	Rhodonia	Rhodonia placenta	Postia placenta Mad-698-R			2759		4751	5204	155619	5303	2983338	2041757	104341	561896					https://genome.ucsc.edu/h/GCA_000006255.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/006/255/GCA_000006255.1/genes/GCA_000006255.1_Postia_placenta_V1.0.ncbiGene.gtf.gz
